"Thématiques","Critères","Accueil non connecté|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/login",Vos demandes|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/dossier,Un dossier en cours|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/dossier/O19-V7J-EJW,Une question ?|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/static/faq,"Mon profil|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/profil","Contact",Plan du site|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/static/plan,"Mentions légales","Accessibilité","CGU|https://demo.rieau.cohesion-territoires.gouv.fr/petitionnaire/static/conditions"
"9","4","na",na,na,na,"na","na",na,"na","na","na"
"10","1","c",c,c,c,"c","c",c,"c","c","c"
"10","2","nc|Le bouton France Connect devrait être une image (`<img>`). Pour l'instant, en tant que `<div>`, le bouton n'est pas visible quand les feuilles de style sont désactivées.","nc|Les liens ""détail"" (chevron vers la droite) ne sont plus visibles lorsque les feuilles de style sont désactivées ",c,c,"c","c",c,"c","c","c"
"10","3","c",c,c,c,"c","c",c,"c","c","c"
"10","4","c|Si l'on ne fait que zoomer sans rafraichir l'écran, le menu mobile (_burger_) ne s'affiche pas.","c|Si l'on ne fait que zoomer sans rafraichir l'écran, le menu mobile (_burger_) ne s'affiche pas.","c|Si l'on ne fait que zoomer sans rafraichir l'écran, le menu mobile (_burger_) ne s'affiche pas.","c|Si l'on ne fait que zoomer sans rafraichir l'écran, le menu mobile (_burger_) ne s'affiche pas.","c|Si l'on ne fait que zoomer sans rafraichir l'écran, le menu mobile (_burger_) ne s'affiche pas.","c|Si l'on ne fait que zoomer sans rafraichir l'écran, le menu mobile (_burger_) ne s'affiche pas.","c|Si l'on ne fait que zoomer sans rafraichir l'écran, le menu mobile (_burger_) ne s'affiche pas.","c|Si l'on ne fait que zoomer sans rafraichir l'écran, le menu mobile (_burger_) ne s'affiche pas.","c|Si l'on ne fait que zoomer sans rafraichir l'écran, le menu mobile (_burger_) ne s'affiche pas.","c|Si l'on ne fait que zoomer sans rafraichir l'écran, le menu mobile (_burger_) ne s'affiche pas."
"10","5","c",c,c,c,"c","c",c,"c","c","c"
"10","6","nc|Le lien ""Une question ?"" n'est pas de nature évidente. L'idéal serait d'ajouter un soulignement au survol de tous les liens texte. Pensez au lien ""Retour"" aussi qui lui reste souligné (OK du point de vue RGAA, mais pas cohérent avec le lien ""Une question ?"")","nc|Le lien ""Une question ?"" n'est pas de nature évidente. L'idéal serait d'ajouter un soulignement au survol de tous les liens texte. Pensez au lien ""Retour"" aussi qui lui reste souligné (OK du point de vue RGAA, mais pas cohérent avec le lien ""Une question ?"")","nc|Le lien ""Une question ?"" n'est pas de nature évidente. L'idéal serait d'ajouter un soulignement au survol de tous les liens texte. Pensez au lien ""Retour"" aussi qui lui reste souligné (OK du point de vue RGAA, mais pas cohérent avec le lien ""Une question ?"")","nc|Le lien ""Une question ?"" n'est pas de nature évidente. L'idéal serait d'ajouter un soulignement au survol de tous les liens texte. Pensez au lien ""Retour"" aussi qui lui reste souligné (OK du point de vue RGAA, mais pas cohérent avec le lien ""Une question ?"")","nc|Le lien ""Une question ?"" n'est pas de nature évidente. L'idéal serait d'ajouter un soulignement au survol de tous les liens texte. Pensez au lien ""Retour"" aussi qui lui reste souligné (OK du point de vue RGAA, mais pas cohérent avec le lien ""Une question ?"")","nc|Le lien ""Une question ?"" n'est pas de nature évidente. L'idéal serait d'ajouter un soulignement au survol de tous les liens texte. Pensez au lien ""Retour"" aussi qui lui reste souligné (OK du point de vue RGAA, mais pas cohérent avec le lien ""Une question ?"")","nc|Le lien ""Une question ?"" n'est pas de nature évidente. L'idéal serait d'ajouter un soulignement au survol de tous les liens texte. Pensez au lien ""Retour"" aussi qui lui reste souligné (OK du point de vue RGAA, mais pas cohérent avec le lien ""Une question ?"")","nc|Le lien ""Une question ?"" n'est pas de nature évidente. L'idéal serait d'ajouter un soulignement au survol de tous les liens texte. Pensez au lien ""Retour"" aussi qui lui reste souligné (OK du point de vue RGAA, mais pas cohérent avec le lien ""Une question ?"")","nc|Le lien ""Une question ?"" n'est pas de nature évidente. L'idéal serait d'ajouter un soulignement au survol de tous les liens texte. Pensez au lien ""Retour"" aussi qui lui reste souligné (OK du point de vue RGAA, mais pas cohérent avec le lien ""Une question ?"")","nc|Le lien ""Une question ?"" n'est pas de nature évidente. L'idéal serait d'ajouter un soulignement au survol de tous les liens texte. Pensez au lien ""Retour"" aussi qui lui reste souligné (OK du point de vue RGAA, mais pas cohérent avec le lien ""Une question ?"")"
"10","7","c|Le focus peut se retrouver cacher derrière le menu mobile (voir critère 7.1)",c|Le focus peut se retrouver cacher derrière le menu mobile (voir critère 7.1),c|Le focus peut se retrouver cacher derrière le menu mobile (voir critère 7.1),c|Le focus peut se retrouver cacher derrière le menu mobile (voir critère 7.1),"c|Le focus peut se retrouver cacher derrière le menu mobile (voir critère 7.1)","c|Le focus peut se retrouver cacher derrière le menu mobile (voir critère 7.1)",c|Le focus peut se retrouver cacher derrière le menu mobile (voir critère 7.1),"c|Le focus peut se retrouver cacher derrière le menu mobile (voir critère 7.1)","c|Le focus peut se retrouver cacher derrière le menu mobile (voir critère 7.1)","c|Le focus peut se retrouver cacher derrière le menu mobile (voir critère 7.1)"
"10","8","c",c,c,c,"c","c",c,"c","c","c"
"10","9","c",c,c,c,"c","c",c,"c","c","c"
